run,k_stoppages,timing_band,first_start_day,passive_tardiness,model1_tardiness,model2_tardiness
976,5,late,101.3,5.27,5.27,5.27
977,5,late,93.9,10.32,10.32,9.226
978,5,late,112.8,5.21,5.21,5.21
979,5,late,100.5,4.78,4.78,4.78
980,5,late,109.4,4.11,4.11,4.11
981,5,late,108.7,5.86,5.86,5.86
982,5,late,92.4,5.92,5.92,4.13
983,5,late,101.3,5.07,5.07,5.07
984,5,late,116.5,0.0,0.0,0.0
985,5,late,98.1,7.71,7.71,6.904
986,5,late,98.2,4.08,4.08,3.274
987,5,late,97.4,4.09,4.09,2.877
988,5,late,94.8,6.94,6.94,5.846
989,5,late,114.3,4.19,4.19,4.19
990,5,late,111.2,4.39,4.39,4.39
991,5,late,94.4,8.65,8.65,7.556
992,5,late,101.3,5.2,5.2,5.2
993,5,late,101.2,4.5,4.5,4.5
994,5,late,107.1,6.45,6.45,6.45
995,5,late,113.4,4.28,4.28,4.28
996,5,late,98.2,7.83,7.83,7.024
997,5,late,93.2,12.3,12.3,10.896
998,5,late,113.9,3.33,3.33,3.33
999,5,late,101.1,5.53,5.53,5.53
1000,5,late,93.0,6.96,6.96,5.652
