run,k_reworks,realised_failures,timing_band,first_start_day,rework_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
35,1,1,early,5.8,B,15.913,6.552,1.083,120.108,118.704,117.61
36,1,1,early,5.4,B,15.913,6.552,1.083,120.108,118.704,117.61
37,1,1,early,13.2,C,24.988,10.292,4.823,121.621,119.417,118.323
38,1,1,early,3.3,C,24.988,10.292,4.848,121.621,119.417,118.348
39,1,1,early,17.6,B,13.677,5.304,0.929,120.192,118.704,117.61
40,1,1,early,10.9,B,13.677,5.304,0.929,120.192,118.704,117.61
41,1,1,early,18.2,C,24.988,10.419,4.998,121.621,119.417,118.323
42,1,1,early,24.1,A,9.183,1.204,0.0,119.752,117.827,117.446
43,1,1,early,25.4,B,13.26,5.304,0.929,120.108,118.704,117.61
44,1,1,early,14.7,C,24.988,10.292,4.871,121.621,119.417,118.371
45,1,1,early,2.9,C,24.988,10.292,4.848,121.621,119.417,118.348
46,1,1,early,21.3,C,23.273,12.273,7.092,121.621,119.417,118.323
47,1,1,early,17.8,C,24.988,10.419,4.998,121.621,119.417,118.323
48,1,1,early,24.8,B,13.677,5.304,0.929,120.192,118.704,117.61
49,1,1,early,21.8,C,20.823,8.331,3.956,121.621,119.417,118.323
50,1,1,early,11.1,B,13.677,5.304,0.929,120.192,118.704,117.61
51,1,1,early,11.3,C,24.988,10.292,4.823,121.621,119.417,118.323
52,1,1,early,4.4,A,11.479,1.575,0.0,119.752,117.827,117.446
53,1,1,early,7.3,B,13.677,5.304,0.929,120.192,118.704,117.61
54,1,1,early,4.8,A,11.479,1.575,0.0,119.752,117.827,117.446
55,1,1,early,12.5,B,13.677,5.304,0.929,120.192,118.704,117.61
56,1,1,early,3.3,B,15.913,6.552,1.083,120.108,118.704,117.61
57,1,1,early,12.6,B,13.677,5.304,0.929,120.192,118.704,117.61
58,1,1,early,26.6,B,10.942,4.056,0.775,120.192,118.704,117.61
59,1,1,early,26.1,B,13.26,5.304,0.929,120.108,118.704,117.61
60,1,1,early,21.5,B,13.677,5.304,0.929,120.192,118.704,117.61
61,1,1,early,20.8,B,13.677,5.304,0.929,120.192,118.704,117.61
62,1,1,early,28.8,A,9.183,1.204,0.0,119.752,117.827,117.446
63,1,1,early,3.4,A,4.713,1.946,0.0,118.242,117.827,117.338
64,1,1,early,7.7,A,11.479,1.575,0.0,119.752,117.827,117.446
65,1,1,early,1.3,C,24.988,10.292,4.848,121.621,119.417,118.348
66,1,1,early,6.3,B,15.913,6.552,1.083,120.108,118.704,117.61
67,1,1,early,1.1,B,15.913,6.552,1.083,120.108,118.704,117.61
68,1,1,middle,61.6,A,5.525,0.833,0.0,119.298,117.827,117.446
69,1,1,middle,52.0,A,6.888,0.833,0.0,119.752,117.827,117.446
70,1,1,middle,62.4,C,12.494,4.41,2.223,121.621,119.417,118.323
71,1,1,middle,50.5,A,6.888,0.833,0.0,119.752,117.827,117.446
72,1,1,middle,67.2,A,4.592,0.463,0.0,119.752,117.827,117.446
73,1,1,middle,78.6,B,5.471,1.56,0.467,120.192,118.704,117.61
74,1,1,middle,74.7,A,4.592,0.463,0.0,119.752,117.827,117.446
75,1,1,middle,42.8,B,10.942,4.056,0.775,120.192,118.704,117.61
76,1,1,middle,52.0,A,6.888,0.833,0.0,119.752,117.827,117.446
77,1,1,middle,89.4,B,2.735,0.312,0.312,120.192,117.769,117.769
78,1,1,middle,58.9,A,6.888,0.833,0.0,119.752,117.827,117.446
79,1,1,middle,71.9,B,5.471,1.56,0.467,120.192,118.704,117.61
80,1,1,middle,57.4,C,16.658,6.498,3.265,121.621,119.417,118.323
81,1,1,middle,89.3,B,2.735,0.312,0.312,120.192,117.769,117.769
82,1,1,middle,35.8,A,9.183,1.204,0.0,119.752,117.827,117.446
83,1,1,middle,44.4,A,6.888,0.833,0.0,119.752,117.827,117.446
84,1,1,middle,50.9,B,8.206,2.808,0.621,120.192,118.704,117.61
85,1,1,middle,67.8,C,12.494,4.41,2.223,121.621,119.417,118.323
86,1,1,middle,80.6,B,5.471,1.56,0.467,120.192,118.704,117.61
87,1,1,middle,84.6,B,2.735,0.312,0.312,120.192,117.769,117.769
88,1,1,middle,78.2,A,4.592,0.463,0.0,119.752,117.827,117.446
89,1,1,middle,80.2,A,3.875,0.463,0.0,119.394,117.827,117.333
90,1,1,middle,84.7,C,8.329,2.45,1.356,121.621,119.417,118.323
91,1,1,middle,75.3,B,5.471,1.56,0.467,120.192,118.704,117.61
92,1,1,middle,83.5,B,5.304,1.56,0.467,120.108,118.704,117.61
93,1,1,middle,77.6,B,5.471,1.56,0.467,120.192,118.704,117.61
94,1,1,middle,36.1,C,20.823,8.331,3.956,121.621,119.417,118.323
95,1,1,middle,54.4,B,8.206,2.808,0.621,120.192,118.704,117.61
96,1,1,middle,74.9,A,4.592,0.463,0.0,119.752,117.827,117.446
97,1,1,middle,73.8,A,4.592,0.463,0.0,119.752,117.827,117.446
98,1,1,middle,89.6,A,2.296,0.092,0.0,119.752,117.548,117.215
99,1,1,middle,39.9,B,10.942,4.056,0.775,120.192,118.704,117.61
100,1,1,middle,78.6,A,4.592,0.463,0.0,119.752,117.827,117.446
101,1,1,middle,67.1,C,12.494,4.41,2.223,121.621,119.417,118.323
102,1,1,middle,88.8,C,8.329,2.45,1.356,121.621,119.417,118.323
103,1,1,middle,86.3,A,2.296,0.092,0.0,119.752,117.548,117.215
104,1,1,middle,63.4,A,4.592,0.463,0.0,119.752,117.827,117.446
105,1,1,middle,32.3,C,20.823,8.331,3.956,121.621,119.417,118.323
106,1,1,middle,69.3,C,12.494,4.41,2.223,121.621,119.417,118.323
107,1,1,middle,75.2,A,4.592,0.463,0.0,119.752,117.827,117.446
108,1,1,middle,56.6,A,6.888,0.833,0.0,119.752,117.827,117.446
109,1,1,middle,79.7,A,3.971,0.463,0.0,119.442,117.827,117.333
110,1,1,middle,32.7,A,9.183,1.204,0.0,119.752,117.827,117.446
111,1,1,middle,48.3,A,6.888,0.833,0.0,119.752,117.827,117.446
112,1,1,middle,76.1,B,5.471,1.56,0.467,120.192,118.704,117.61
113,1,1,middle,46.3,B,8.206,2.808,0.621,120.192,118.704,117.61
114,1,1,middle,80.2,A,3.875,0.463,0.0,119.394,117.827,117.333
115,1,1,middle,84.7,B,2.735,0.312,0.312,120.192,117.769,117.769
116,1,1,middle,84.0,C,8.329,2.45,1.356,121.621,119.417,118.323
117,1,1,middle,65.4,C,12.494,4.41,2.223,121.621,119.417,118.323
118,1,1,middle,55.8,C,16.658,6.371,3.09,121.621,119.417,118.323
119,1,1,middle,38.7,A,9.183,1.204,0.0,119.752,117.827,117.446
120,1,1,middle,61.9,A,5.381,0.833,0.092,119.25,117.827,117.333
121,1,1,middle,82.5,A,2.296,0.092,0.0,119.752,117.548,117.215
122,1,1,middle,66.9,A,4.592,0.463,0.0,119.752,117.827,117.446
123,1,1,middle,41.2,B,10.942,4.056,0.775,120.192,118.704,117.61
124,1,1,middle,67.5,A,4.592,0.463,0.0,119.752,117.827,117.446
125,1,1,middle,63.8,B,7.956,2.808,0.621,120.108,118.704,117.61
126,1,1,middle,71.3,C,12.494,4.41,2.223,121.621,119.417,118.323
127,1,1,middle,63.8,A,4.592,0.463,0.0,119.752,117.827,117.446
128,1,1,middle,83.1,A,2.296,0.092,0.0,119.752,117.548,117.215
129,1,1,middle,45.7,B,8.206,2.808,0.621,120.192,118.704,117.61
130,1,1,middle,33.5,A,9.183,1.204,0.0,119.752,117.827,117.446
131,1,1,middle,61.0,C,12.494,4.41,2.223,121.621,119.417,118.323
132,1,1,middle,32.6,A,9.183,1.204,0.0,119.752,117.827,117.446
133,1,1,middle,57.2,C,16.658,6.498,3.265,121.621,119.417,118.323
134,1,1,middle,88.4,C,8.329,2.45,1.356,121.621,119.417,118.323
135,1,1,late,115.4,C,4.165,0.49,0.49,121.621,117.946,117.946
136,1,1,late,94.7,A,2.296,0.092,0.0,119.752,117.548,117.215
137,1,1,late,116.2,C,2.45,2.45,2.45,119.906,119.906,119.906
138,1,1,late,110.4,C,4.165,0.49,0.49,121.621,117.946,117.946
139,1,1,late,101.4,C,4.165,0.49,0.49,121.621,117.946,117.946
140,1,1,late,95.2,C,8.329,2.577,1.531,121.621,119.417,118.371
141,1,1,late,112.6,C,4.165,0.49,0.49,121.621,117.946,117.946
142,1,1,late,109.4,C,4.165,0.49,0.49,121.621,117.946,117.946
143,1,1,late,99.8,A,1.89,0.092,0.0,119.346,117.548,117.123
144,1,1,late,100.3,A,1.794,0.092,0.092,119.25,117.548,117.548
145,1,1,late,109.8,C,4.165,0.49,0.49,121.621,117.946,117.946
146,1,1,late,99.8,B,2.735,0.312,0.312,120.192,117.769,117.769
147,1,1,late,102.5,B,2.652,0.312,0.312,120.108,117.769,117.769
148,1,1,late,101.0,C,4.165,0.49,0.49,121.621,117.946,117.946
149,1,1,late,104.3,C,4.165,0.49,0.49,121.621,117.946,117.946
150,1,1,late,93.9,A,2.296,0.092,0.0,119.752,117.548,117.215
151,1,1,late,116.3,C,2.45,2.45,2.45,119.906,119.906,119.906
152,1,1,late,93.2,B,2.735,0.312,0.312,120.192,117.769,117.769
153,1,1,late,92.0,A,2.296,0.092,0.0,119.752,117.548,117.215
154,1,1,late,98.0,A,2.296,0.092,0.0,119.752,117.548,117.215
155,1,1,late,92.8,A,2.296,0.092,0.0,119.752,117.548,117.215
156,1,1,late,98.5,A,2.081,0.092,0.0,119.537,117.548,117.215
157,1,1,late,113.8,C,4.165,0.49,0.49,121.621,117.946,117.946
158,1,1,late,103.1,C,4.165,0.49,0.49,121.621,117.946,117.946
159,1,1,late,112.1,C,4.165,0.49,0.49,121.621,117.946,117.946
160,1,1,late,112.6,C,4.165,0.49,0.49,121.621,117.946,117.946
161,1,1,late,107.2,C,4.165,0.49,0.49,121.621,117.946,117.946
162,1,1,late,91.6,C,8.329,2.45,1.356,121.621,119.417,118.323
163,1,1,late,110.6,C,4.165,0.49,0.49,121.621,117.946,117.946
164,1,1,late,102.7,C,4.165,0.49,0.49,121.621,117.946,117.946
165,1,1,late,114.8,C,4.165,0.49,0.49,121.621,117.946,117.946
166,1,1,late,116.7,C,2.45,2.45,2.45,119.906,119.906,119.906
167,1,1,late,105.3,C,4.165,0.49,0.49,121.621,117.946,117.946
168,1,1,late,106.8,C,4.165,0.49,0.49,121.621,117.946,117.946
169,1,1,late,105.8,C,4.165,0.49,0.49,121.621,117.946,117.946
170,1,1,late,94.0,B,2.735,0.312,0.312,120.192,117.769,117.769
171,1,1,late,98.4,B,2.735,0.312,0.312,120.192,117.769,117.769
172,1,1,late,94.0,C,8.329,2.45,1.356,121.621,119.417,118.323
173,1,1,late,112.7,C,4.165,0.49,0.49,121.621,117.946,117.946
174,1,1,late,92.8,A,2.296,0.092,0.0,119.752,117.548,117.215
175,1,1,late,98.9,A,1.985,0.092,0.0,119.442,117.548,117.123
176,1,1,late,92.7,A,2.296,0.092,0.0,119.752,117.548,117.215
177,1,1,late,95.0,C,8.329,2.577,1.531,121.621,119.417,118.371
178,1,1,late,113.5,C,4.165,0.49,0.49,121.621,117.946,117.946
179,1,1,late,105.2,C,4.165,0.49,0.49,121.621,117.946,117.946
180,1,1,late,116.4,C,2.45,2.45,2.45,119.906,119.906,119.906
181,1,1,late,95.1,A,2.296,0.092,0.0,119.752,117.548,117.215
182,1,1,late,102.8,C,4.165,0.49,0.49,121.621,117.946,117.946
183,1,1,late,105.1,C,4.165,0.49,0.49,121.621,117.946,117.946
184,1,1,late,92.2,A,2.296,0.092,0.0,119.752,117.548,117.215
185,1,1,late,91.3,B,2.735,0.312,0.312,120.192,117.769,117.769
186,1,1,late,114.5,C,4.165,0.49,0.49,121.621,117.946,117.946
187,1,1,late,95.8,B,2.735,0.312,0.312,120.192,117.769,117.769
188,1,1,late,91.7,A,2.296,0.092,0.0,119.752,117.548,117.215
189,1,1,late,114.6,C,4.165,0.49,0.49,121.621,117.946,117.946
190,1,1,late,95.7,C,8.329,2.577,1.531,121.621,119.417,118.371
191,1,1,late,109.6,C,4.165,0.49,0.49,121.621,117.946,117.946
192,1,1,late,100.4,B,2.735,0.312,0.312,120.192,117.769,117.769
193,1,1,late,110.2,C,4.165,0.49,0.49,121.621,117.946,117.946
194,1,1,late,96.7,C,6.615,4.431,3.625,121.621,119.417,118.61
195,1,1,late,101.0,C,4.165,0.49,0.49,121.621,117.946,117.946
196,1,1,late,109.4,C,4.165,0.49,0.49,121.621,117.946,117.946
197,1,1,late,93.7,A,2.296,0.092,0.0,119.752,117.548,117.215
198,1,1,late,108.9,C,4.165,0.49,0.49,121.621,117.946,117.946
199,1,1,late,92.5,C,8.329,2.45,1.356,121.621,119.417,118.323
200,1,1,late,110.6,C,4.165,0.49,0.49,121.621,117.946,117.946
201,2,2,early,24.8,C|C,24.988,8.821,5.221,125.785,119.906,119.588
202,2,2,early,12.8,C|C,37.481,14.702,10.008,125.785,121.377,120.283
203,2,2,early,15.3,B|A,20.565,6.138,1.671,122.487,119.075,117.981
204,2,2,early,24.2,A|B,19.792,5.26,5.475,122.404,119.075,117.981
205,2,2,early,28.2,B|A,13.238,4.148,0.867,122.487,118.796,117.702
206,2,2,early,18.6,B|A,22.86,6.508,2.133,122.487,119.075,117.981
207,2,2,early,14.2,C|B,33.194,13.1,7.769,124.356,120.665,119.571
208,2,2,early,27.9,A|A,16.071,2.038,0.135,122.048,118.198,117.44
209,2,2,early,16.3,A|A,20.663,2.779,0.0,122.048,118.198,117.44
210,2,2,early,8.6,B|C,34.5,14.327,9.775,124.356,120.665,119.571
211,2,2,early,9.8,B|B,16.413,5.617,1.742,122.927,119.017,118.423
212,2,2,early,15.5,B|A,22.86,6.508,2.133,122.487,119.075,117.981
213,2,2,early,29.8,A|C,30.006,9.535,5.069,123.917,119.787,118.694
214,2,2,early,15.7,C|C,29.152,10.781,6.088,125.785,119.906,119.588
215,2,2,early,8.1,C|C,41.646,16.79,11.969,125.785,121.377,120.283
216,2,2,early,13.5,B|C,26.171,9.715,6.115,124.356,120.665,119.571
217,2,2,early,9.9,A|B,22.421,5.631,3.51,122.487,119.075,117.981
218,2,2,early,6.8,C|C,29.152,10.781,6.088,125.785,119.906,119.588
219,2,2,early,12.7,A|A,18.367,2.408,0.0,122.048,118.198,117.392
220,2,2,early,1.4,B|B,21.383,8.113,2.781,122.844,119.952,118.858
221,2,2,early,5.7,B|C,40.9,17.535,11.89,124.273,120.665,119.571
222,2,2,early,20.4,A|C,28.138,7.946,4.254,123.917,119.787,118.694
223,2,2,early,9.5,A|B,19.685,4.383,2.985,122.487,119.075,117.981
224,2,2,early,13.9,B|C,30.335,11.675,8.075,124.356,120.665,119.571
225,2,2,early,10.4,B|A,24.74,6.879,2.1,122.404,119.075,117.981
226,2,2,early,11.3,B|A,24.74,6.879,2.1,122.404,119.075,117.981
227,2,2,early,14.8,A|A,16.071,2.038,0.0,122.048,118.198,117.392
228,2,2,early,15.6,B|A,24.74,6.879,2.1,122.404,119.075,117.981
229,2,2,early,5.2,B|A,20.504,7.015,1.454,122.404,119.075,117.981
230,2,2,early,9.7,A|C,22.258,7.967,3.929,123.917,119.787,118.694
231,2,2,early,28.8,A|C,13.348,1.694,0.542,123.917,118.317,117.998
232,2,2,early,23.2,B|A,15.973,5.396,0.929,122.487,118.796,117.61
233,2,2,early,9.2,A|A,16.071,2.038,0.0,122.048,118.198,117.392
234,2,2,early,24.9,C|C,29.152,10.781,7.181,125.785,121.377,120.283
235,2,2,early,13.4,C|A,27.283,10.383,4.823,123.917,119.508,118.323
236,2,2,early,27.4,C|A,23.119,8.423,4.096,123.917,119.508,118.463
