run,k_shortages,timing_band,first_start_day,shortage_types,passive_tardiness,model1_tardiness,model2_tardiness,passive_makespan,model1_makespan,model2_makespan
473,3,middle,60.7,B|C|C,4.05,1.483,0.48,118.806,117.456,117.286
474,3,middle,39.3,A|B|C,9.741,1.113,0.92,120.337,117.456,117.301
475,3,middle,34.6,C|B|C,5.21,2.283,2.283,118.626,118.626,118.626
476,3,middle,63.2,C|A|A,7.35,2.596,2.45,119.906,117.456,117.348
477,3,middle,32.6,C|A|C,1.23,1.762,1.02,118.686,118.476,118.476
478,3,middle,71,C|B|A,5.47,0.742,0.49,119.946,117.456,117.447
479,3,middle,60.7,B|A|B,7.29,0,0,119.886,117.456,117.456
480,3,middle,53.8,C|A|C,4.2,1.692,1.692,118.506,118.036,118.036
481,3,middle,79.8,B|C|C,2.538,1.113,1.04,118.795,117.456,117.213
482,3,middle,57.7,A|B|C,2.83,1.2,1.2,118.906,118.656,118.656
483,3,middle,57.7,A|C|C,5.64,2.225,2.21,119.666,117.456,117.343
484,3,middle,79.8,B|B|C,1.96,1.07,1.07,118.856,118.526,118.526
485,3,middle,76.9,A|A|C,2.54,0,0,118.726,117.456,117.456
486,3,middle,38.5,A|A|B,6.95,0,0,119.666,117.456,117.456
487,3,middle,38.5,A|B|C,9,0,0,119.706,117.456,117.456
488,3,middle,74.9,C|A|B,4,1.483,1.19,119.076,117.456,117.255
489,3,middle,34.6,C|C|C,4.25,2.596,2.574,118.306,117.456,117.424
490,3,middle,53.8,C|A|A,6.222,1.113,1.113,120.399,117.456,117.456
491,3,middle,44,C|A|B,5.96,1.854,1.49,118.946,117.456,117.13
492,3,middle,76.9,A|C|C,1.5,1.12,1.12,118.576,118.576,118.576
493,3,middle,79.8,B|C|A,3.92,0,0,119.416,117.456,117.456
494,3,middle,63.2,C|B|C,2.88,0.742,0.48,118.656,117.456,117.232
495,3,middle,79.8,B|B|B,4.68,0,0,119.796,117.456,117.456
496,3,middle,57.7,A|B|C,4.53,0,0,119.536,117.456,117.456
